tanggal,provinsi,kabupaten,kecamatan,fasyankes,penyakit,kode_penyakit,minggu,tahun,tahun_minggu,tahun_minggu_f,age_group,kelamin,kasus
1901-01-01,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,1.0,1901.0,1901 - 01,1901.01,,,12
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,1.0,1901.0,1901 - 01,1901.01,,,38
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,ILI (Penyakit Serupa Influenza),Y,1.0,1901.0,1901 - 01,1901.01,,,60
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Malaria Konfirmasi,B,1.0,1901.0,1901 - 01,1901.01,,,1
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,1.0,1901.0,1901 - 01,1901.01,,,58
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Sindrom Jaundice Akut,G,1.0,1901.0,1901 - 01,1901.01,,,64
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Demam Tifoid,F,1.0,1901.0,1901 - 01,1901.01,,,10
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,1.0,1901.0,1901 - 01,1901.01,,,17
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek HFMD,Z,1.0,1901.0,1901 - 01,1901.01,,,1
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Meningitis/Encephalitis,U,1.0,1901.0,1901 - 01,1901.01,,,22
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Tetanus,W,1.0,1901.0,1901 - 01,1901.01,,,7
1901-01-01,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,1.0,1901.0,1901 - 01,1901.01,,,14569
1901-01-01,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,ILI (Penyakit Serupa Influenza),Y,1.0,1901.0,1901 - 01,1901.01,,Male,6
1901-01-01,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,ILI (Penyakit Serupa Influenza),Y,1.0,1901.0,1901 - 01,1901.01,,Female,10
1901-01-01,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,1.0,1901.0,1901 - 01,1901.01,,Male,71
1901-01-01,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,1.0,1901.0,1901 - 01,1901.01,,Female,61
1901-01-01,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,1.0,1901.0,1901 - 01,1901.01,,,10
1901-01-01,BALI,KAB. BULELENG,TEJAKULA,TEJAKULA I,None,None,1.0,1901.0,1901 - 01,1901.01,A. 0 - 7 day old,Male,4
1901-01-01,BALI,KAB. BULELENG,TEJAKULA,TEJAKULA I,None,None,1.0,1901.0,1901 - 01,1901.01,,,10
1910-10-10,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,41.0,1910.0,1910 - 41,1910.41,,,1
1910-10-10,BALI,KAB. BULELENG,BULELENG,BULELENG I,None,None,41.0,1910.0,1910 - 41,1910.41,,,3
1910-10-10,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,ILI (Penyakit Serupa Influenza),Y,41.0,1910.0,1910 - 41,1910.41,,,1
1910-10-10,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,41.0,1910.0,1910 - 41,1910.41,,,1
1910-10-10,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Sindrom Jaundice Akut,G,41.0,1910.0,1910 - 41,1910.41,,,4
1910-10-10,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,41.0,1910.0,1910 - 41,1910.41,,,1727
1910-10-10,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,41.0,1910.0,1910 - 41,1910.41,,,12
1910-10-10,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,41.0,1910.0,1910 - 41,1910.41,,Male,4
1910-10-10,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,41.0,1910.0,1910 - 41,1910.41,,Female,4
1910-10-10,BALI,KAB. BULELENG,BUSUNGBIU,BUSUNGBIU I,None,None,41.0,1910.0,1910 - 41,1910.41,,,2
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Diare Akut,A,41.0,1910.0,1910 - 41,1910.41,,Male,6
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Diare Akut,A,41.0,1910.0,1910 - 41,1910.41,,Female,10
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Diare Berdarah/ Disentri,E,41.0,1910.0,1910 - 41,1910.41,,Male,6
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Diare Berdarah/ Disentri,E,41.0,1910.0,1910 - 41,1910.41,,Female,2
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Gigitan Hewan Penular Rabies,P,41.0,1910.0,1910 - 41,1910.41,,Male,18
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Gigitan Hewan Penular Rabies,P,41.0,1910.0,1910 - 41,1910.41,,Female,6
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Suspek Demam Tifoid,F,41.0,1910.0,1910 - 41,1910.41,,Male,5
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Suspek Demam Tifoid,F,41.0,1910.0,1910 - 41,1910.41,,Female,9
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Suspek Dengue,C,41.0,1910.0,1910 - 41,1910.41,,Male,3
1910-10-10,BALI,KAB. BULELENG,GEROKGAK,GEROKGAK II,Suspek Dengue,C,41.0,1910.0,1910 - 41,1910.41,,Female,6
1910-10-10,BALI,KAB. BULELENG,SERIRIT,SERIRIT I,None,None,41.0,1910.0,1910 - 41,1910.41,,Male,362
1910-10-10,BALI,KAB. BULELENG,SERIRIT,SERIRIT I,None,None,41.0,1910.0,1910 - 41,1910.41,,Female,555
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Female,2
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Male,7
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Female,2
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Male,7
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Female,3
2021-12-31,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Male,1
2022-01-01,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,52.0,2021.0,2021 - 52,2021.52,,,1
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Male,7
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Female,2
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Male,7
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Female,4
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Male,10
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Female,9
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Male,2
2022-01-01,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Female,1
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,F. 10 - 14 year old,Male,1
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,F. 10 - 14 year old,Female,1
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,G. 15 - 19 year old,Female,3
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Male,6
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Female,2
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Male,5
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Female,9
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Male,12
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Female,8
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Male,1
2022-01-02,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,52.0,2021.0,2021 - 52,2021.52,K. > 70 year old,Female,1
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,G. 15 - 19 year old,Female,1
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Male,5
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,H. 20 - 44 year old,Female,4
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Male,1
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,I. 45 - 54 year old,Female,4
2022-01-02,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,52.0,2021.0,2021 - 52,2021.52,J. 55 - 69 year old,Male,6
